,#,Tháng,Số điểm cháy
0,1,1,3
1,2,2,25
2,3,3,13
3,4,4,19
4,5,5,39
5,6,6,26
6,7,7,9
7,8,8,1
8,9,9,17
9,10,10,48
10,11,11,44
11,12,12,59
