,#,Tên huyện,Số điểm cháy
0,1,Hương Khê,34
1,2,Hương Sơn,9
2,3,Can Lộc,1
3,4,Kỳ Anh,18
4,5,Cẩm Xuyên,4
5,6,TX. Kỳ Anh,1
