,#,Tháng,Số điểm cháy
0,1,1,21
1,2,2,347
2,3,3,728
3,4,4,1036
4,5,5,128
5,6,6,86
6,7,7,109
7,8,8,216
8,9,9,142
9,10,10,151
10,11,11,93
11,12,12,13
