,#,Tháng,Số điểm cháy
0,1,1,18
1,2,2,642
2,3,3,795
3,4,4,498
4,5,5,122
5,6,6,59
6,7,7,21
7,8,8,25
8,9,9,57
9,10,10,164
10,11,11,35
11,12,12,30
