,#,Tên huyện,Số điểm cháy
0,1,Thuận Châu,52
1,2,Yên Châu,27
2,3,Sông Mã,65
3,4,Quỳnh Nhai,66
4,5,Mường La,115
5,6,Phù Yên,26
6,7,Mai Sơn,63
7,8,Sốp Cộp,213
8,9,Sơn La,9
9,10,Bắc Yên,30
10,11,Vân Hồ,22
11,12,Mộc Châu,24
