,#,Tháng,Số điểm cháy
0,1,1,1590
1,2,2,8045
2,3,3,7132
3,4,4,7428
4,5,5,323
5,6,6,70
6,7,7,63
7,8,8,74
8,9,9,36
9,10,10,122
10,11,11,10
11,12,12,175
