,#,Tên huyện,Số điểm cháy
0,1,KRông Nô,35
1,2,Tuy Đức,95
2,3,Cư Jút,21
3,4,Đắk Mil,9
4,5,Đắk Song,38
5,6,Đắk Glong,242
6,7,TX. Gia Nghĩa,8
