,#,Tháng,Số điểm cháy
0,1,1,86
1,2,2,290
2,3,3,251
3,4,4,114
4,5,5,20
5,6,6,2
6,7,7,1
7,8,8,1
8,9,10,5
9,10,11,1
10,11,12,29
