,#,Tên huyện,Số điểm cháy
0,1,TX. Sông Cầu,24
1,2,Sơn Hòa,139
2,3,Đồng Xuân,22
3,4,Tuy An,10
4,5,Sông Hinh,54
5,6,Phú Hòa,10
6,7,Đông Hòa,9
7,8,Tây Hòa,14
