,#,Tháng,Số điểm cháy
0,1,1,3
1,2,2,49
2,3,3,21
3,4,4,53
4,5,5,49
5,6,6,22
6,7,7,2
7,8,8,2
8,9,9,45
9,10,10,37
10,11,11,7
11,12,12,13
