,#,Tên huyện,Số điểm cháy
0,1,Yên Mô,6
1,2,Nho Quan,46
2,3,Yên Khánh,12
3,4,Ninh Bình,1
4,5,Khu dự trữ sinh quyển,4
5,6,Kim Sơn,4
6,7,Khu dự trữ sinh quyển,4
7,8,Gia Viễn,140
8,9,TX. Tam Điệp,47
9,10,Hoa Lư,45
