,#,Tháng,Số điểm cháy
0,1,1,27
1,2,2,146
2,3,3,294
3,4,4,217
4,5,5,20
5,6,6,22
6,7,7,11
7,8,8,5
8,9,9,48
9,10,10,24
10,11,11,42
11,12,12,42
