,#,Tên huyện,Số điểm cháy
0,1,Lắk,68
1,2,M'Đrắk,105
2,3,Ea Kar,13
3,4,Cư M'Gar,11
4,5,Ea Súp,147
5,6,Krông Bông,57
6,7,Ea H'Leo,45
7,8,Buôn Đôn,182
8,9,Krông Ana,13
9,10,Krông Năng,1
10,11,Buôn Ma Thuột,2
11,12,Krông Pắc,1
