,#,Tên huyện,Số điểm cháy
0,1,Vĩnh Thuận,95
1,2,Phú Quốc,259
2,3,Rạch Giá,350
3,4,TX. Hà Tiên,31
4,5,Giang Thành,1557
5,6,Châu Thành,594
6,7,Kiên Lương,1430
7,8,Gò Quao,625
8,9,Tân Hiệp,3880
9,10,Hòn Đất,4891
10,11,An Minh,101
11,12,U Minh Thượng,219
12,13,Giồng Riềng,3814
13,14,An Biên,135
