,#,Tháng,Số điểm cháy
0,1,1,3
1,2,3,43
2,3,4,80
3,4,5,11
4,5,6,16
5,6,7,6
6,7,8,32
7,8,9,21
8,9,10,12
9,10,11,10
10,11,12,49
