,#,Tháng,Số điểm cháy
0,1,2,20
1,2,3,20
2,3,4,54
3,4,5,157
4,5,6,39
5,6,7,7
6,7,8,6
7,8,9,29
8,9,10,65
9,10,11,24
10,11,12,24
