,#,Tên huyện,Số điểm cháy
0,1,Nậm Pồ,169
1,2,Tủa Chùa,8
2,3,Điện Biên Đông,97
3,4,TX. Mường Lay,2
4,5,Mường Chà,145
5,6,Tuần Giáo,158
6,7,Điện Biên,242
7,8,Mường Nhé,218
8,9,Điện Biên Ph,1
9,10,Mường ảng,36
