,#,Tên huyện,Số điểm cháy
0,1,Bá Thước,1
1,2,Lang Chánh,13
2,3,Thạch Thành,3
3,4,Cẩm Thủy,5
4,5,Như Xuân,14
5,6,Quan Sơn,14
6,7,Quan Hóa,5
7,8,Tĩnh Gia,9
8,9,Nông Cống,1
9,10,Thường Xuân,6
10,11,Như Thanh,12
11,12,Mường Lát,38
