,#,Tháng,Số điểm cháy
0,1,1,1
1,2,2,2
2,3,3,1
3,4,4,2
4,5,5,14
5,6,6,9
6,7,7,8
7,8,8,19
8,9,9,10
9,10,10,2
10,11,11,4
11,12,12,21
