,#,Tên huyện,Số điểm cháy
0,1,Nha Trang,7
1,2,Cam Lâm,9
2,3,Cam Ranh,6
3,4,TX. Ninh Hòa,61
4,5,Vạn Ninh,12
5,6,Khánh Sơn,69
6,7,Diên Khánh,7
7,8,Khánh Vĩnh,62
