,#,Tháng,Số điểm cháy
0,1,1,18
1,2,2,61
2,3,3,1613
3,4,4,1326
4,5,5,5
5,6,6,10
6,7,7,12
7,8,8,1
8,9,9,27
9,10,10,9
10,11,11,41
11,12,12,8
