,#,Tháng,Số điểm cháy
0,1,2,5
1,2,3,4
2,3,4,6
3,4,5,4
4,5,6,109
5,6,7,23
6,7,8,71
7,8,9,86
8,9,10,71
9,10,11,105
10,11,12,138
