,#,Tháng,Số điểm cháy
0,1,1,47
1,2,2,151
2,3,3,19
3,4,4,104
4,5,5,10
5,6,6,4
6,7,7,63
7,8,8,4
8,9,9,70
9,10,10,18
10,11,11,64
11,12,12,28
