,#,Tháng,Số điểm cháy
0,1,1,157
1,2,2,393
2,3,3,656
3,4,4,626
4,5,5,41
5,6,6,22
6,7,7,13
7,8,8,42
8,9,9,12
9,10,10,42
10,11,11,8
11,12,12,13
