,#,Tên huyện,Số điểm cháy
0,1,Thăng Bình,118
1,2,Nam Giang,533
2,3,Bắc Trà My,2349
3,4,Đông Giang,671
4,5,Nông Sơn,267
5,6,Tam Kỳ,38
6,7,Đại Lộc,619
7,8,Tiên Phước,779
8,9,Điện Bàn,67
9,10,Nam Trà My,1936
10,11,Duy Xuyên,101
11,12,Tây Giang,1767
12,13,Quế Sơn,138
13,14,Núi Thành,1155
14,15,Phước Sơn,1430
15,16,Hiệp Đức,941
16,17,Phú Ninh,239
