,#,Tên huyện,Số điểm cháy
0,1,Hiệp Hòa,13
1,2,Lục Nam,220
2,3,Lục Ngạn,191
3,4,Cấm Sơn,191
4,5,Sơn Động,467
5,6,Bắc Giang,9
6,7,Tân Yên,15
7,8,Yên Dũng,58
8,9,Lạng Giang,35
9,10,Việt Yên,79
10,11,Yên Thế,117
