,#,Tên huyện,Số điểm cháy
0,1,Bình Gia,29
1,2,Tràng Định,50
2,3,Chi Lăng,3
3,4,Hữu Lũng,8
4,5,Đình Lập,31
5,6,Lộc Bình,5
6,7,Văn Lãng,1
7,8,Bắc Sơn,9
