,#,Tháng,Số điểm cháy
0,1,1,13
1,2,2,27
2,3,3,27
3,4,4,44
4,5,5,105
5,6,6,87
6,7,7,39
7,8,8,29
8,9,9,41
9,10,10,19
10,11,11,5
11,12,12,2
