,#,Tên huyện,Số điểm cháy
0,1,Tam Đường,181
1,2,Phong Thổ,1007
2,3,Sìn Hồ,2185
3,4,Than Uyên,588
4,5,Mường Tè,3139
5,6,Lai Châu,34
6,7,Bắc Tân Uyên,764
7,8,Nậm Nhùn,1251
