,#,Tên huyện,Số điểm cháy
0,1,Bù Gia Mập,13
1,2,Hớn Quản,15
2,3,Lộc Ninh,23
3,4,Bù Đốp,42
4,5,Bù Đăng,26
5,6,Đồng Phú,7
