,#,Tháng,Số điểm cháy
0,1,1,3
1,2,2,1
2,3,3,24
3,4,4,25
4,5,5,14
5,6,6,10
6,7,7,13
7,8,8,6
8,9,10,3
9,10,11,8
10,11,12,3
