,#,Tên huyện,Số điểm cháy
0,1,Lắk,84
1,2,M'Đrắk,115
2,3,Ea Kar,28
3,4,Cư M'Gar,15
4,5,Ea Súp,274
5,6,Krông Bông,64
6,7,Ea H'Leo,62
7,8,Buôn Đôn,285
8,9,Krông Ana,1
9,10,Krông Năng,6
10,11,Krông Pắc,1
