,#,Tên huyện,Số điểm cháy
0,1,Phổ Yên,1
1,2,Phú Lương,1
2,3,Thái Nguyên,1
3,4,Võ Nhai,11
4,5,Định Hóa,15
5,6,Đồng Hỷ,13
