,#,Tên huyện,Số điểm cháy
0,1,Bát Xát,211
1,2,Mường Khương,200
2,3,Lào Cai,14
3,4,Bảo Yên,242
4,5,Văn Bàn,687
5,6,Bắc Hà,155
6,7,Si Ma Cai,12
7,8,Sa Pa,20
8,9,Bảo Thắng,113
