,#,Tên huyện,Số điểm cháy
0,1,Lâm Bình,15
1,2,Chiêm Hóa,62
2,3,Hàm Yên,61
3,4,Yên Sơn,86
4,5,Na Hang,10
5,6,Sơn Dương,19
6,7,Tuyên Quang,1
