,#,Tên huyện,Số điểm cháy
0,1,Thuận Châu,205
1,2,Yên Châu,72
2,3,Sông Mã,274
3,4,Quỳnh Nhai,136
4,5,Mường La,174
5,6,Phù Yên,57
6,7,Mai Sơn,160
7,8,Sốp Cộp,463
8,9,Sơn La,65
9,10,Bắc Yên,68
10,11,Vân Hồ,105
11,12,Mộc Châu,64
