,#,Tên huyện,Số điểm cháy
0,1,TX. Buôn Hồ,14
1,2,Lắk,121
2,3,M'Đrắk,371
3,4,Cư Kuin,14
4,5,Ea Kar,139
5,6,Cư M'Gar,110
6,7,Ea Súp,1587
7,8,Krông Bông,178
8,9,Ea H'Leo,400
9,10,Buôn Đôn,897
10,11,Krông Ana,21
11,12,Krông Năng,33
12,13,Buôn Ma Thuột,16
13,14,Krông Búk,10
14,15,Krông Pắc,26
