,#,Tháng,Số điểm cháy
0,1,1,1
1,2,2,72
2,3,3,8
3,4,4,44
4,5,5,21
5,6,6,23
6,7,7,1
7,8,8,1
8,9,9,7
9,10,10,1
10,11,12,15
