,#,Tên huyện,Số điểm cháy
0,1,Phong Điền,4
1,2,A Lưới,9
2,3,TX. Hương Thủy,11
3,4,Hương Trà,30
4,5,Nam Đông,6
5,6,Phú Lộc,19
