,#,Tên huyện,Số điểm cháy
0,1,Quỳ Châu,25
1,2,Tương Dương,20
2,3,Nghĩa Đàn,11
3,4,Tân Kỳ,5
4,5,Đô Lương,2
5,6,Quế Phong,28
6,7,Kỳ Sơn,80
7,8,TX. Hoàng Mai,4
8,9,Anh Sơn,10
9,10,Quỳnh Lưu,5
10,11,Nam Đàn,1
11,12,Con Cuông,17
12,13,Quỳ Hợp,18
13,14,Thanh Chương,17
14,15,Yên Thành,19
