,#,Tháng,Số điểm cháy
0,1,1,12
1,2,2,17
2,3,3,9
3,4,4,33
4,5,5,13
5,6,6,6
6,7,7,1
7,8,8,1
8,9,9,3
9,10,10,3
10,11,11,1
11,12,12,7
