,#,Tháng,Số điểm cháy
0,1,1,4
1,2,2,12
2,3,3,29
3,4,4,59
4,5,5,4
5,6,6,18
6,7,7,10
7,8,8,4
8,9,9,27
9,10,10,8
10,11,11,6
11,12,12,8
