,#,Tên huyện,Số điểm cháy
0,1,Cẩm Khê,5
1,2,Hạ Hòa,29
2,3,Tam Nông,10
3,4,Phù Ninh,4
4,5,Đoan Hùng,17
5,6,Thanh Sơn,62
6,7,Lâm Thao,1
7,8,Tân Sơn,46
8,9,Thanh Thủy,5
9,10,TX. Phú Thọ,6
10,11,Việt Trì,13
11,12,Yên Lập,33
12,13,Thanh Ba,13
