,#,Tên huyện,Số điểm cháy
0,1,Bình Gia,6
1,2,Tràng Định,8
2,3,Hữu Lũng,3
3,4,Đình Lập,29
4,5,Lộc Bình,6
5,6,Bắc Sơn,7
