,#,Tên huyện,Số điểm cháy
0,1,Bá Thước,4
1,2,Lang Chánh,18
2,3,Thạch Thành,5
3,4,Như Xuân,17
4,5,Quan Sơn,25
5,6,Quan Hóa,21
6,7,Tĩnh Gia,7
7,8,Nông Cống,3
8,9,Thường Xuân,37
9,10,Như Thanh,15
10,11,Vĩnh Lộc,1
11,12,Mường Lát,95
12,13,Ngọc Lặc,2
13,14,Hậu Lộc,1
