,#,Tên huyện,Số điểm cháy
0,1,Phổ Yên,2
1,2,Phú Lương,4
2,3,Sông Công,1
3,4,Võ Nhai,14
4,5,Đại Từ,3
5,6,Định Hóa,6
6,7,Đồng Hỷ,12
