,#,Tên huyện,Số điểm cháy
0,1,Nậm Pồ,290
1,2,Tủa Chùa,44
2,3,TX. Mường Lay,14
3,4,Điện Biên Đông,160
4,5,Mường Chà,221
5,6,Tuần Giáo,180
6,7,Điện Biên,400
7,8,Điện Biên Ph,4
8,9,Mường Nhé,352
9,10,Mường ảng,41
