,#,Tháng,Số điểm cháy
0,1,1,13
1,2,2,80
2,3,3,244
3,4,4,76
4,5,5,25
5,6,6,64
6,7,7,28
7,8,8,56
8,9,9,31
9,10,10,39
10,11,11,103
11,12,12,287
