,#,Tháng,Số điểm cháy
0,1,1,7
1,2,2,9
2,3,3,11
3,4,4,36
4,5,5,24
5,6,6,20
6,7,7,5
7,8,8,15
8,9,9,32
9,10,10,24
10,11,11,17
11,12,12,4
