,#,Tháng,Số điểm cháy
0,1,1,6
1,2,2,17
2,3,3,133
3,4,4,70
4,5,5,15
5,6,6,23
6,7,7,31
7,8,8,10
8,9,9,41
9,10,10,37
10,11,11,24
11,12,12,15
