,#,Tháng,Số điểm cháy
0,1,1,2
1,2,2,40
2,3,3,75
3,4,4,48
4,5,5,9
5,6,6,10
6,7,7,18
7,8,8,7
8,9,9,34
9,10,10,25
10,11,11,21
11,12,12,7
