,#,Tên huyện,Số điểm cháy
0,1,Lâm Bình,5
1,2,Chiêm Hóa,13
2,3,Hàm Yên,18
3,4,Yên Sơn,28
4,5,Na Hang,1
5,6,Sơn Dương,6
