,#,Tháng,Số điểm cháy
0,1,1,69
1,2,2,687
2,3,3,1701
3,4,4,708
4,5,5,248
5,6,6,85
6,7,7,58
7,8,8,20
8,9,9,105
9,10,10,69
10,11,11,60
11,12,12,37
