,#,Tháng,Số điểm cháy
0,1,1,180
1,2,2,8893
2,3,3,23557
3,4,4,25464
4,5,5,474
5,6,6,1
6,7,8,1
7,8,9,38
8,9,10,135
9,10,11,188
10,11,12,43
