,#,Tên huyện,Số điểm cháy
0,1,Tuy Đức,1227
1,2,Cư Jút,953
2,3,Đắk Mil,1060
3,4,Đắk Song,1537
4,5,Đắk RLấp,158
5,6,Đắk Glong,5203
6,7,TX. Gia Nghĩa,320
7,8,KRông Nô,1966
