,#,Tên huyện,Số điểm cháy
0,1,Thuận Châu,323
1,2,Yên Châu,73
2,3,Sông Mã,396
3,4,Quỳnh Nhai,38
4,5,Mường La,211
5,6,Phù Yên,49
6,7,Mai Sơn,183
7,8,Sốp Cộp,1299
8,9,Sơn La,31
9,10,Bắc Yên,100
10,11,Vân Hồ,39
11,12,Mộc Châu,18
