,#,Tên huyện,Số điểm cháy
0,1,Quỳ Châu,61
1,2,Tương Dương,238
2,3,Nghĩa Đàn,5
3,4,Tân Kỳ,7
4,5,Đô Lương,3
5,6,Nghi Lộc,1
6,7,Quế Phong,54
7,8,Kỳ Sơn,200
8,9,TX. Hoàng Mai,1
9,10,Anh Sơn,9
10,11,Quỳnh Lưu,2
11,12,Con Cuông,21
12,13,Quỳ Hợp,28
13,14,Thanh Chương,15
14,15,Yên Thành,3
