,#,Tên huyện,Số điểm cháy
0,1,Bát Xát,38
1,2,Mường Khương,34
2,3,Lào Cai,9
3,4,Bảo Yên,35
4,5,Văn Bàn,105
5,6,Bắc Hà,31
6,7,Sa Pa,15
7,8,Si Ma Cai,3
8,9,Bảo Thắng,29
