,#,Tên huyện,Số điểm cháy
0,1,Văn Chấn,148
1,2,Lục Yên,142
2,3,Trạm Tấu,79
3,4,Yên Bái,20
4,5,Trấn Yên,142
5,6,Mù Cang Chải,255
6,7,TX. Nghĩa Lộ,2
7,8,Văn Yên,199
8,9,Yên Bình,243
