,#,Tên huyện,Số điểm cháy
0,1,Hiệp Hòa,9
1,2,Lục Nam,87
2,3,Lục Ngạn,100
3,4,Cấm Sơn,100
4,5,Sơn Động,152
5,6,Bắc Giang,11
6,7,Tân Yên,7
7,8,Yên Dũng,33
8,9,Lạng Giang,9
9,10,Việt Yên,39
10,11,Yên Thế,28
