,#,Tháng,Số điểm cháy
0,1,1,131
1,2,2,1201
2,3,3,1055
3,4,4,688
4,5,5,61
5,6,6,27
6,7,7,30
7,8,8,10
8,9,9,41
9,10,10,129
10,11,11,194
11,12,12,85
