,#,Tên huyện,Số điểm cháy
0,1,Hóc Môn,1
1,2,Q. 12,1
2,3,Q. Thủ Đức,1
3,4,Q. 2,3
4,5,Q. 9,6
5,6,Nhà Bè,2
6,7,Bình Chánh,38
7,8,Q. Tân Phú,1
8,9,Củ Chi,21
9,10,Cần Giờ,1
10,11,Q. 8,1
11,12,Q. Bình Tân,3
