,#,Tháng,Số điểm cháy
0,1,1,4
1,2,2,324
2,3,3,259
3,4,4,846
4,5,5,106
5,6,6,11
6,7,7,2
7,8,8,16
8,9,9,12
9,10,10,32
10,11,11,38
