,#,Tên huyện,Số điểm cháy
0,1,Phong Điền,32
1,2,A Lưới,87
2,3,TX. Hương Thủy,30
3,4,Hương Trà,33
4,5,Nam Đông,30
5,6,Phú Vang,1
6,7,Phú Lộc,33
